100, 0, 0, 1, transit;
105, 10, 0, 1, transit;
102, 8, 0, 1, room;
200, 0, 0, 2, transit;
300, 0, 0, 3, transit;
400, 0, 0, 4, transit;
500, 0, 0, 5, transit;
205, 10, 0, 2, transit;
305, 10, 0, 3, transit;
405, 10, 0, 4, transit;
505, 10, 0, 5, transit;
201, 2, 0, 2, room;
202, 4, 0, 2, room;
203, 6, 0, 2, room;
204, 8, 0, 2, room;
301, 2, 0, 3, room;
302, 4, 0, 3, room;
303, 6, 0, 3, room;
304, 8, 0, 3, room;
401, 2, 0, 4, room;
402, 4, 0, 4, room;
403, 6, 0, 4, room;
404, 8, 0, 4, room;
501, 2, 0, 5, room;
502, 4, 0, 5, room;
503, 6, 0, 5, room;
504, 8, 0, 5, room;
100, 200, climb, 2, yes;
100, 200, lift, 2, yes;
300, 200, climb, 2, yes;
300, 200, lift, 2, yes;
300, 400, climb, 2, yes;
500, 400, climb, 2, yes;
500, 400, lift, 2, yes;
505, 405, climb, 2, yes;
505, 405, lift, 2, yes;
305, 405, climb, 2, yes;
305, 205, climb, 2, yes;
305, 205, lift, 2, yes;
105, 205, climb, 2, yes;
105, 102, walk, 2, yes;
200, 201, walk, 2, yes;
201, 202, walk, 2, yes;
203, 202, walk, 2, yes;
203, 204, walk, 2, yes;
204, 205, walk, 2, yes;
300, 301, walk, 2, no;
301, 302, walk, 2, no;
302, 303, walk, 2, no;
303, 304, walk, 2, no;
304, 305, walk, 2, no;
400, 401, walk, 2, no;
401, 402, walk, 2, no;
402, 403, walk, 2, no;
403, 404, walk, 2, no;
404, 405, walk, 2, no;
505, 504, walk, 2, no;
504, 503, walk, 2, no;
503, 502, walk, 2, no;
502, 501, walk, 2, no;
501, 500, walk, 2, no;
